id,class,order,family,genus,species,authority,commonNameEnglish,taxonomyType,uniqueIdentifier,FFI_species_name
2002130,Mammalia,Rodentia,Hystricidae,Hystrix,brachyura,"Linnaeus, 1758",Malayan Porcupine,biological,e8490543-5bea-46a7-a326-a02142d2e6e1,Malayan Porcupine
2006000,Aves,Galliformes,Phasianidae,Gallus,gallus,"Linnaeus, 1758",Red Junglefowl,biological,89851bea-765b-431a-bb03-6f821931ebdc,Red Junglefowl
2021550,Reptilia,,,,,,Reptile,biological,739a105e-d883-4ff8-9282-7ec44018e6a0,Reptile
2018237,Mammalia,Cetartiodactyla,Cervidae,Muntiacus,,,Muntiacus Species,biological,a04c522f-8ca1-4c09-85b5-a0f29b8466a8,Muntjac
2009725,Aves,Piciformes,Picidae,Picus,rabieri,"Oustalet, 1898",Red-collared Woodpecker,biological,6cd3d89b-83db-4627-b837-ee65c61a010f,Red-collared Woodpecker
2008774,Aves,Strigiformes,Strigidae,Ketupa,zeylonensis,"Gmelin, 1788",Brown Fish-owl,biological,a7354762-3586-4980-9519-c9f72979f37e,Brown Fish-owl
2021570,Reptilia,Squamata,Varanidae,Varanus,salvator,,Common Water Monitor,biological,bf821325-fbf8-4b48-a437-4c238ad07f90,Asian Water Monitor
2015321,Aves,Passeriformes,Muscicapidae,Larvivora,cyane,"Pallas, 1776",Siberian Blue Robin,biological,32c2f24a-d0f7-4a83-a5ef-79d4d015c6e9,Siberian Blue Robin
2015322,Aves,Passeriformes,Muscicapidae,Larvivora,sibilans,"Swinhoe, 1863",Rufous-tailed Robin,biological,899cca7c-ee61-4253-8730-4a30cc1f6b5f,Rufous-tailed Robin
2015325,Aves,Passeriformes,Muscicapidae,Larvivora,akahige,"Temminck, 1835",,biological,c9a4cf4d-1807-40a2-8c49-26e1cc6ed4a9,Japanese Robin
2002102,Mammalia,Rodentia,Sciuridae,Hylopetes,alboniger,"Hodgson, 1836",African Linsang,biological,84980ca0-3cb4-49eb-ac0c-550eaed40a66,Particolored Flying Squirrel
2015207,Aves,Passeriformes,Muscicapidae,Niltava,macgrigoriae,"Burton, 1836",Small Niltava,biological,cf14f352-c00f-4bbb-a3f0-78278301f347,Small Niltava
2021371,Mammalia,Eulipotyphla,Soricidae,,,,Soricidae Family,biological,26a96746-25c9-406e-b3a1-1658f81ae0af,Shrew
2021559,Insecta,Lepidoptera,,,,,Butterflies and Moths,biological,4a7126ec-2b0b-426d-bafd-356219eb487a,Butterfly
2014096,Aves,Passeriformes,Scotocercidae,Horornis,fortipes,"Hodgson, 1845",,biological,5ce94158-673d-4f00-affb-6dd980422ac0,Brownish-flanked Bush Warbler
2012716,Aves,Passeriformes,Dicruridae,Dicrurus,aeneus,"Vieillot, 1817",Bronzed Drongo,biological,2b9cf91e-845f-4143-97b0-0a176bd4330c,Bronzed Drongo
2015309,Aves,Passeriformes,Muscicapidae,Brachypteryx,leucophris,"Temminck, 1827",Lesser Shortwing,biological,a9e3b266-50dc-4759-80ca-8c7c972ee4f4,Lesser Shortwing
2008628,Aves,Strigiformes,Strigidae,Athene,brama,"Temminck, 1821",Spotted Owlet,biological,cd911688-5787-4b02-9bca-6fcb707ca78c,Spotted Owlet
2015337,Aves,Passeriformes,Muscicapidae,Myiomela,leucura,"Hodgson, 1845",White-tailed Blue Robin,biological,cdffb0c9-a000-4522-bd27-4e017247a6cd,White-tailed Robin
2008296,Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,"Linnaeus, 1758",Eurasian Woodcock,biological,b77d7237-243a-490e-b547-90e52983c23a,Eurasian Woodcock
2015020,Aves,Passeriformes,Turdidae,Geokichla,sibirica,"Pallas, 1776",Siberian Thrush,biological,c8ec11b2-2bf1-4466-b312-cb43cf20a1ee,Siberian Thrush
2002543,Mammalia,Pholidota,Manidae,Manis,javanica,"Desmarest, 1822",Sunda Pangolin,biological,6cc43c63-2730-4495-8d1e-3c3b1c1b9793,Sunda Pangolin
2021317,Mammalia,Rodentia,Sciuridae,,,,Sciuridae Family,biological,e4d1e892-0e4b-475a-a8ac-b5c3502e0d55,Flying squirrel
2005878,Aves,Galliformes,Phasianidae,Arborophila,brunneopectus,"Blyth, 1855",Bar-backed Partridge,biological,60ccc8d1-1b22-4f51-8002-884d9140de0f,Bar-backed Partridge
2014445,Aves,Passeriformes,Pellorneidae,Turdinus,brevicaudatus,"Blyth, 1855",Streaked Wren-babbler,biological,169ed977-68c0-4685-a5e9-9ddbc90b6997,Streaked Wren Babbler
2015100,Aves,Passeriformes,Turdidae,Turdus,cardis,"Temminck, 1831",Japanese Thrush,biological,b9d69b11-b471-42ab-b04f-94137608b9df,Japanese Thrush
2005483,Mammalia,Cetartiodactyla,Tragulidae,Tragulus,kanchil,"Raffles, 1821",Lesser Oriental Chevrotain,biological,205a307a-abf2-4a12-9018-5c044b20e97b,Lesser Mouse-deer
2017718,Mammalia,Cetartiodactyla,Bovidae,Bubalus,,,Bubalus Species,biological,6367120b-bc6a-4331-8a9f-9a61b88017c6,Domestic Buffalo
2012903,Aves,Passeriformes,Corvidae,Cissa,chinensis,"Boddaert, 1783",Common Green Magpie,biological,64972a54-90a8-49b0-9892-1f658c650029,Green magpie
2014074,Aves,Passeriformes,Scotocercidae,Hemitesia,pallidipes,"Blanford, 1872",Pale-footed Bush-warbler,biological,06117775-606d-48a6-8203-0759588720f5,Pale-footed Bush Warbler
2012731,Aves,Passeriformes,Dicruridae,Dicrurus,paradiseus,"Linnaeus, 1766",,biological,472c9282-6bc2-4252-8021-d446706a432f,Greater Racket-tailed Drongo
2015104,Aves,Passeriformes,Turdidae,Turdus,obscurus,"Gmelin, 1789",Eyebrowed Thrush,biological,9a995cba-e6a6-4297-b098-233d4527d49f,Eyebrowed Thrush
2005301,Mammalia,Rodentia,Sciuridae,Tamiops,maritimus,"Bonhote, 1900",Maritime Striped Squirrel,biological,d17ee71d-ac39-44cf-b189-5eabd120b26f,Eastern Striped Squirrel
2012731,Aves,Passeriformes,Dicruridae,Dicrurus,paradiseus,"Linnaeus, 1766",,biological,472c9282-6bc2-4252-8021-d446706a432f,Greater Racquet-tailed Drongo
2008859,Aves,Accipitriformes,Accipitridae,Nisaetus,nipalensis,"Hodgson, 1836",Mountain Hawk-eagle,biological,3be3f820-1462-4a04-ae0d-bce98d6cf08b,Mountain Hawk-eagle
2013884,Aves,Passeriformes,Pycnonotidae,Alophoixus,pallidus,"Swinhoe, 1870",,biological,ab35e3b6-4a0d-484c-b59f-82e1308ae43a,Puff-throated Bulbul
2008003,Aves,Pelecaniformes,Ardeidae,Gorsachius,melanolophus,"Raffles, 1822",Malay Night-heron,biological,cddc01b8-7f0c-407d-9d28-abc0203095dc,Malayan Night Heron
2015400,Aves,Passeriformes,Muscicapidae,Ficedula,hyperythra,"Blyth, 1843",,biological,fd99749f-e5fd-4a8b-8787-823cfedb8c48,Snowy-browed Flycatcher
2004518,Mammalia,Primates,Cercopithecidae,Pygathrix,cinerea,"Nadler, 1997",Grey-shanked Douc Langur,biological,60ea9d1f-5448-4ec6-ba03-550db94e54e0,Grey-shanked Douc Langur
2015334,Aves,Passeriformes,Muscicapidae,Calliope,calliope,"Pallas, 1776",Siberian Rubythroat,biological,5880c476-0e8f-41c1-84b5-af860dfadcce,Siberian Rubythroat
2015253,Aves,Passeriformes,Muscicapidae,Cyornis,tickelliae,"Blyth, 1843",Tickell's Blue-Flycatcher,biological,144bac52-6be0-46ba-9b2d-7f6a67acf5b5,Tickell's Blue Flycatcher
